Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2025
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Southern Severe Storms and Flooding (April 1980)",Flooding,19800410,19800417,2784.6,706.8,7
"Hurricane Allen (August 1980)",Tropical Cyclone,19800807,19800811,2259.8,590,13
"Central/Eastern Drought/Heat Wave (Summer-Fall 1980)",Drought,19800601,19801130,41082,10020,1260
"Florida Freeze (January 1981)",Freeze,19810112,19810114,2099.2,572,0
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,19810505,19810510,1425.3,401.4,20
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,2237.7,662,85
"Midwest/Plains/Southeast Tornadoes (April 1982)",Severe Storm,19820402,19820404,1623.7,483.2,33
"Severe Storms (June 1982)",Severe Storm,19820531,19820610,1598.3,479.9,30
"Gulf States Storms and Flooding (December 1982-January 1983)",Flooding,19821201,19830115,5007.7,1536.1,45
"Western Storms and Flooding (December 1982-March 1983)",Flooding,19821213,19830331,4888.7,1499.6,50
"Hurricane Alicia (August 1983)",Tropical Cyclone,19830817,19830820,9540,3000,21
"Southeast Drought (Summer 1983)",Drought,19830601,19830831,9662.9,2964.1,0
"Arizona Flooding (October 1983)",Flooding,19830929,19831003,1268,400,14
"Freeze/Cold Wave (December 1983)",Freeze,19831215,19831225,6539,2005.8,151
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,19840327,19840407,1875.5,603.1,80
"Severe Storms and Hail (June 1984)",Severe Storm,19840613,19840617,1374.3,446.2,1
"Florida Freeze (January 1985)",Freeze,19850120,19850122,3624,1200,0
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,19850122,2527.4,836.9,150
"Ohio and Pennsylvania Tornado Outbreak (June 1985)",Severe Storm,19850531,19850531,1782.1,600,89
"Hurricane Elena (September 1985)",Tropical Cyclone,19850830,19850903,3827.4,1297.4,4
"Hurricane Gloria (September 1985)",Tropical Cyclone,19850926,19850928,2525.8,856.1,11
"Hurricane Juan (October 1985)",Tropical Cyclone,19851027,19851031,4400.3,1496.7,63
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,19851103,19851108,4102,1400,62
"Western Severe Storms and Flooding (February 1986)",Severe Storm,19860214,19860216,1547.1,529.8,13
"Southeast Drought/Heat Wave (Summer 1986)",Drought,19860601,19860831,5248.6,1803.6,100
"Michigan Flooding (September 1986)",Flooding,19860910,19860912,1160,400,10
"U.S. Drought/Heat Wave (Summer 1988)",Drought,19880601,19880831,55210.9,20003.8,454
"Southern Derecho and Severe Storms (May 1989)",Severe Storm,19890501,19890506,1423,551.5,21
"Tropical Storm Allison (June 1989)",Tropical Cyclone,19890626,19890628,1503.5,585,11
"Hurricane Hugo (September 1989)",Tropical Cyclone,19890921,19890922,22949.7,8999.9,86
"Northern Plains Drought (Summer-Fall 1989)",Drought,19890601,19891130,7898.4,3003.2,0
"Florida Freeze (December 1989)",Freeze,19891223,19891225,5260,2000,10
"Winter Storm, Cold Wave (December 1989)",Winter Storm,19891221,19891226,1720.3,680,100
